Day number,January,February,March,April,May,June,July,August,September,October,November,December
1,47,40,65,101,59,31,21,13,9.5,16,25,46
2,49,40,70,91,59,32,26,12,22,14,23,43
3,46,49,84,84,54,33,23,12,23,14,25,40
4,51,55,66,80,52,34,22,12,16,15,25,36
5,50,57,57,80,51,36,23,15,13,14,23,33
6,48,52,55,71,54,34,20,14,15,13,24,38
7,45,49,56,71,51,41,18,13,18,12,25,37
8,46,51,61,73,47,53,19,17,16,12,24,42
9,46,47,65,70,45,42,21,16,14,13,25,42
10,43,44,58,66,45,34,21,13,13,14,28,54
11,46,46,56,60,42,37,18,15,14,13,29,48
12,50,48,60,60,40,42,19,15,12,16,25,52
13,60,48,68,65,44,40,18,14,12,17,29,54
14,53,56,78,71,50,40,19,14,11,18,34,52
15,54,56,81,63,48,37,16,16,11,39,32,54
16,53,51,72,75,45,31,16,17,14,35,31,48
17,48,51,69,74,43,32,15,13,15,30,37,50
18,50,50,67,63,43,35,15,12,13,24,35,53
19,54,50,63,60,45,33,16,13,12,22,30,44
20,50,48,62,56,42,29,15,13,11,25,29,41
21,48,45,62,59,38,26,13,12,10,23,28,42
22,41,45,75,66,36,26,14,12,12,19,31,43
23,40,51,79,68,36,27,17,12,11,19,37,41
24,52,57,78,63,43,26,28,11,11,18,40,49
25,62,67,66,55,42,27,26,10,9.7,22,40,55
26,53,74,59,61,39,25,18,9.5,12,27,38,60
27,45,64,61,70,38,22,17,11,16,26,43,56
28,43,65,63,64,35,22,15,12,15,30,41,54
29,41,48,77,57,35,22,14,13,17,37,34,48
30,41,,134,52,34,20,14,13,17,41,35,50
31,41,,141,,32,,13,11,,33,,48